Terminal,Country,Region
AAA,PF,SEA
AAB,AU,SEA
AAC,EG,MEA
AAD,SD,MEA
AAE,DZ,MEA
AAF,US,AM
AAG,BR,AM
AAH,DE,EU
AAI,BR,AM
AAJ,SR,AM
AAK,KI,SEA
AAL,DK,EU
AAM,ZA,MEA
AAN,AE,MEA
AAO,VE,AM
AAP,US,AM
AAQ,RU,EU
AAR,DK,EU
AAS,ID,SEA
AAT,CN,CNA
AAU,WS,AM
AAV,PH,SEA
AAW,PK,MEA
AAX,BR,AM
AAY,YE,MEA
AAZ,GT,AM
ABA,RU,EU
ABB,GB,EU
ABC,ES,EU
ABD,IR,MEA
ABE,US,AM
ABF,KI,SEA
ABG,AU,SEA
ABH,AU,SEA
ABI,US,AM
ABJ,CI,MEA
ABK,ET,MEA
ABL,US,AM
ABM,AU,SEA
ABN,SR,AM
ABO,CI,MEA
ABP,PG,SEA
ABQ,US,AM
ABR,US,AM
ABS,EG,MEA
ABT,SA,MEA
ABU,ID,SEA
ABV,NG,MEA
ABW,PG,SEA
ABX,AU,SEA
ABY,US,AM
ABZ,GB,EU
ACA,MX,AM
ACB,US,AM
ACC,GH,MEA
ACD,CO,AM
ACE,ES,EU
ACH,CH,EU
ACI,GB,EU
ACJ,LK,SEA
ACK,US,AM
ACL,CO,AM
ACM,CO,AM
ACN,MX,AM
ACO,CH,EU
ACP,IR,MEA
ACR,CO,AM
ACS,RU,EU
ACT,US,AM
ACU,PA,AM
ACV,US,AM
ACX,CN,CNA
ACY,US,AM
ACZ,IR,MEA
ADA,TR,EU
ADB,TR,EU
ADC,PG,SEA
ADD,ET,MEA
ADE,YE,MEA
ADF,TR,EU
ADG,US,AM
ADH,RU,EU
ADI,NA,MEA
ADJ,JO,MEA
ADK,US,AM
ADL,AU,SEA
ADM,US,AM
ADN,CO,AM
ADO,AU,SEA
ADP,LK,SEA
ADQ,US,AM
ADR,US,AM
ADS,US,AM
ADT,US,AM
ADU,IR,MEA
ADV,GB,EU
ADW,US,AM
ADX,GB,EU
ADY,ZA,MEA
ADZ,CO,AM
AEA,KI,SEA
AED,US,AM
AEG,ID,SEA
AEH,TD,MEA
AEI,ES,EU
AEK,PG,SEA
AEL,US,AM
AEO,MR,MEA
AEP,AR,AM
AER,RU,EU
AES,NO,EU
AET,US,AM
AEU,IR,MEA
AEX,US,AM
AEY,IS,EU
AFA,AR,AM
AFD,ZA,MEA
AFF,US,AM
AFI,CO,AM
AFK,LK,SEA
AFL,BR,AM
AFN,US,AM
AFO,US,AM
AFR,PG,SEA
AFS,UZ,EU
AFT,SB,SEA
AFW,US,AM
AFY,TR,EU
AFZ,IR,MEA
AGA,MA,MEA
AGB,DE,EU
AGC,US,AM
AGD,ID,SEA
AGE,DE,EU
AGF,FR,EU
AGG,PG,SEA
AGH,SE,EU
AGI,SR,AM
AGJ,JP,CNA
AGK,PG,SEA
AGL,PG,SEA
AGM,GL,EU
AGN,US,AM
AGO,US,AM
AGP,ES,EU
AGQ,GR,EU
AGR,IN,SEA
AGS,US,AM
AGT,PY,AM
AGU,MX,AM
AGV,VE,AM
AGW,AU,SEA
AGX,IN,SEA
AGY,AU,SEA
AGZ,ZA,MEA
AHA,JP,CNA
AHB,SA,MEA
AHC,US,AM
AHD,US,AM
AHE,PF,SEA
AHF,US,AM
AHH,US,AM
AHI,ID,SEA
AHL,GY,AM
AHN,US,AM
AHO,IT,EU
AHS,HN,AM
AHT,US,AM
AHU,MA,MEA
AHY,MG,MEA
AHZ,FR,EU
AIA,US,AM
AIB,US,AM
AIC,MH,SEA
AID,US,AM
AIE,PG,SEA
AIF,BR,AM
AIG,CF,MEA
AIH,PG,SEA
AII,DJ,MEA
AIK,US,AM
AIL,PA,AM
AIM,MH,SEA
AIN,US,AM
AIO,US,AM
AIP,MH,SEA
AIR,BR,AM
AIS,KI,SEA
AIT,CK,SEA
AIU,CK,SEA
AIV,US,AM
AIW,NA,MEA
AIY,US,AM
AIZ,US,AM
AJA,FR,EU
AJF,SA,MEA
AJI,TR,EU
AJJ,MR,MEA
AJK,IR,MEA
AJL,IN,SEA
AJN,KM,MEA
AJO,YE,MEA
AJR,SE,EU
AJS,MX,AM
AJU,BR,AM
AJY,NE,MEA
AKA,CN,CNA
AKB,US,AM
AKC,US,AM
AKD,IN,SEA
AKE,GA,MEA
AKF,LY,MEA
AKG,PG,SEA
AKH,SA,MEA
AKI,US,AM
AKJ,JP,CNA
