Flight Number;Orig;Dest;A/C;Weekday_Z;STD-HH:MM;STA-HH:MM;DD_Z;Net Payload;Net Volume;key
QY80;ACC;BRU;ABY;Sat;18:50;01:50;1.0;46000;386;ACC/BRU/2024-09-14 18:50:00
3V400;ALA;LGG;74Y;Mon;20:40;04:30;1.0;87050;725;ALA/LGG/2024-09-09 20:40:00
D075;ALA;LEJ;76V;Mon;04:50;12:50;;47650;442;ALA/LEJ/2024-09-09 04:50:00
QY547;ALA;CGN;33X;Tue;06:15;14:20;;51200;427;ALA/CGN/2024-09-10 06:15:00
3V517;ALA;LEJ;74Y;Tue;11:55;19:55;;87050;725;ALA/LEJ/2024-09-10 11:55:00
D077;ALA;LEJ;76V;Tue;04:50;12:50;;47650;442;ALA/LEJ/2024-09-10 04:50:00
QY549;ALA;CGN;33X;Wed;06:15;14:20;;51200;427;ALA/CGN/2024-09-11 06:15:00
3V400;ALA;LGG;74Y;Wed;12:15;20:05;;87050;725;ALA/LGG/2024-09-11 12:15:00
D071;ALA;LEJ;76V;Wed;04:50;12:50;;47650;442;ALA/LEJ/2024-09-11 04:50:00
QY547;ALA;CGN;33X;Thu;06:15;14:20;;51200;427;ALA/CGN/2024-09-12 06:15:00
3V517;ALA;LEJ;74Y;Thu;06:50;14:50;;87050;725;ALA/LEJ/2024-09-12 06:50:00
D073;ALA;LEJ;76V;Thu;04:50;12:50;;47650;442;ALA/LEJ/2024-09-12 04:50:00
QY549;ALA;CGN;33X;Fri;06:15;14:20;;51200;427;ALA/CGN/2024-09-13 06:15:00
3V400;ALA;LGG;74Y;Fri;12:15;20:05;;87050;725;ALA/LGG/2024-09-13 12:15:00
D071;ALA;LEJ;76V;Fri;04:50;12:50;;47650;442;ALA/LEJ/2024-09-13 04:50:00
QY547;ALA;FRA;33X;Sat;06:15;14:15;;51200;427;ALA/FRA/2024-09-14 06:15:00
3V517;ALA;BRU;74Y;Sat;07:00;14:50;;87050;725;ALA/BRU/2024-09-14 07:00:00
D073;ALA;LEJ;76V;Sat;04:50;12:50;;47650;442;ALA/LEJ/2024-09-14 04:50:00
QY549;ALA;LEJ;33X;Sun;06:15;14:10;;51200;427;ALA/LEJ/2024-09-15 06:15:00
3V400;ALA;LGG;74Y;Sun;12:15;20:05;;87050;725;ALA/LGG/2024-09-15 12:15:00
3V517;ALA;LEJ;74Y;Sun;20:25;05:40;1.0;87050;725;ALA/LEJ/2024-09-15 20:25:00
D077;ALA;LEJ;76V;Sun;04:50;12:50;;47650;442;ALA/LEJ/2024-09-15 04:50:00
ES188;AMM;CAI;76V;Tue;17:20;19:00;;47650;442;AMM/CAI/2024-09-10 17:20:00
ES188;AMM;CAI;76V;Fri;17:20;19:00;;47650;442;AMM/CAI/2024-09-13 17:20:00
QY1491;AMS;LEJ;33X;Mon;20:35;21:55;;51200;427;AMS/LEJ/2024-09-09 20:35:00
QY1239;AMS;LEJ;ABY;Mon;22:10;23:30;;46000;386;AMS/LEJ/2024-09-09 22:10:00
QY1239;AMS;LEJ;ABY;Tue;22:10;23:30;;46000;386;AMS/LEJ/2024-09-10 22:10:00
QY1491;AMS;LEJ;ABY;Tue;20:35;21:55;;46000;386;AMS/LEJ/2024-09-10 20:35:00
QY1239;AMS;LEJ;ABY;Wed;22:10;23:30;;46000;386;AMS/LEJ/2024-09-11 22:10:00
QY6700;AMS;LTN;ABY;Wed;13:00;14:20;;46000;386;AMS/LTN/2024-09-11 13:00:00
QY1491;AMS;LEJ;ABY;Wed;20:35;21:55;;46000;386;AMS/LEJ/2024-09-11 20:35:00
QY1491;AMS;LEJ;76Y;Thu;20:35;21:55;;47650;442;AMS/LEJ/2024-09-12 20:35:00
QY1239;AMS;LEJ;ABY;Thu;22:10;23:30;;46000;386;AMS/LEJ/2024-09-12 22:10:00
QY6725;AMS;MAD;ABY;Thu;16:10;18:50;;46000;386;AMS/MAD/2024-09-12 16:10:00
QY1239;AMS;LEJ;ABY;Fri;22:10;23:30;;46000;386;AMS/LEJ/2024-09-13 22:10:00
QY6731;AMS;LHR;ABY;Sat;15:50;17:00;;46000;386;AMS/LHR/2024-09-14 15:50:00
QY6725;AMS;MAD;ABY;Sat;11:30;14:10;;46000;386;AMS/MAD/2024-09-14 11:30:00
QY1239;AMS;LEJ;ABY;Sun;11:00;12:20;;46000;386;AMS/LEJ/2024-09-15 11:00:00
K4617;ANC;CVG;74Y;Mon;12:35;18:50;;87050;725;ANC/CVG/2024-09-09 12:35:00
K4677;ANC;CVG;74Y;Mon;15:30;21:45;;87050;725;ANC/CVG/2024-09-09 15:30:00
K4816;ANC;CGO;77X;Mon;10:15;20:30;;77350;645;ANC/CGO/2024-09-09 10:15:00
K4674;ANC;HKG;74Y;Mon;09:30;21:00;;87050;725;ANC/HKG/2024-09-09 09:30:00
K4628;ANC;HKG;74Y;Mon;08:45;20:00;;87050;725;ANC/HKG/2024-09-09 08:45:00
3S508;ANC;CVG;77X;Mon;11:45;17:55;;77350;645;ANC/CVG/2024-09-09 11:45:00
3S589;ANC;CVG;77X;Mon;07:40;13:50;;77350;645;ANC/CVG/2024-09-09 07:40:00
K4223;ANC;JFK;74Y;Mon;09:50;16:45;;87050;725;ANC/JFK/2024-09-09 09:50:00
PO956;ANC;NRT;77X;Mon;14:20;22:10;;77350;645;ANC/NRT/2024-09-09 14:20:00
PO998;ANC;CVG;77X;Mon;23:00;05:15;1.0;77350;645;ANC/CVG/2024-09-09 23:00:00
