Day;Time;origin;destination;product;Market CHW;Market Allin Yield
Mon;18:00;DXB;SIN;TestProd;3004.1475;1
Mon;18:00;DXB;EMA;TestProd;5542.571249999999;1
Mon;18:00;DXB;CGN;TestProd;194.625;1
Mon;18:00;CVG;CPH;TestProd;5042.6745;1
Mon;18:00;BLR;VIT;TestProd;2016.7;1
Mon;18:00;CVG;JED;TestProd;18764.25375;1
Mon;18:00;BKK;LHE;TestProd;451.8;1
Mon;18:00;YHM;LHE;TestProd;149.05;1
Mon;18:00;CVG;HKG;TestProd;12557.744999999999;1
Mon;18:00;HKG;MIA;TestProd;20171.3715;1
Mon;18:00;BLR;LEJ;TestProd;8853.52;1
Mon;18:00;DXB;MUC;TestProd;473.13750000000005;1
Mon;18:00;YHM;CDG;TestProd;1577.12;1
Mon;18:00;LEJ;YMX;TestProd;1970.7375000000002;1
Mon;18:00;HKG;LYS;TestProd;3950.905;1
Mon;18:00;DXB;MIA;TestProd;1461.9937499999999;1
Mon;18:00;HKG;ARN;TestProd;3869.975;1
Mon;18:00;DXB;PTY;TestProd;24.765;1
Mon;18:00;BKK;MXP;TestProd;637.645;1
Mon;18:00;CAN;DXB;TestProd;222.162;1
Mon;18:00;DXB;OSL;TestProd;179.10000000000002;1
Mon;18:00;CAI;SGN;TestProd;1.0274999999999999;1
Mon;18:00;CVG;BCN;TestProd;868.48875;1
Mon;18:00;CAI;PVG;TestProd;43.14;1
Mon;18:00;SZX;BOM;TestProd;8064.5;1
Mon;18:00;BLR;ATL;TestProd;3503.3250000000003;1
Mon;18:00;HKG;AMM;TestProd;3113.565;1
Mon;18:00;JED;EMA;TestProd;3566.49;1
Mon;18:00;NBO;BRU;TestProd;7.16325;1
Mon;18:00;HKG;MUC;TestProd;3606.885;1
Mon;18:00;LEJ;LAX;TestProd;36957.618749999994;1
Mon;18:00;HKG;BSL;TestProd;12197.295;1
Mon;18:00;CVG;SVG;TestProd;1036.6575;1
Mon;18:00;HKG;NLU;TestProd;3634.202;1
Mon;18:00;DXB;LHR;TestProd;1988.2649999999999;1
Mon;18:00;HKG;DXB;TestProd;14158.4025;1
Mon;18:00;SYD;EMA;TestProd;4045.3455;1
Mon;18:00;SZX;SYD;TestProd;9662.89875;1
Mon;18:00;HKG;CVG;TestProd;95447.115;1
Mon;18:00;BKK;MIA;TestProd;2850.34125;1
Mon;18:00;HKG;LIM;TestProd;5533.53;1
Mon;18:00;RUH;BLQ;TestProd;150.91;1
Mon;18:00;BLR;BAH;TestProd;29.71;1
Mon;18:00;RUH;HKG;TestProd;43.675;1
Mon;18:00;BKK;LHR;TestProd;190.565;1
Mon;18:00;HKG;MEL;TestProd;1090.57315;1
Mon;18:00;SYD;LAX;TestProd;4515.183749999999;1
Mon;18:00;HKG;JFK;TestProd;61204.93;1
Mon;18:00;BLR;YHM;TestProd;2834.35;1
Mon;18:00;CVG;EMA;TestProd;91765.465875;1
Mon;18:00;BLR;ARN;TestProd;324.7;1
Mon;18:00;DOH;BLQ;TestProd;15.34;1
Mon;18:00;BLR;PTY;TestProd;22.715;1
Mon;18:00;CAI;CGN;TestProd;56.475;1
Mon;18:00;HKG;CAI;TestProd;920.01;1
Mon;18:00;SZX;BSL;TestProd;4136.9625;1
Mon;18:00;BLR;LAX;TestProd;8924.8425;1
Mon;18:00;CAI;BLR;TestProd;2.9549999999999996;1
Mon;18:00;SZX;SIN;TestProd;26393.46;1
Mon;18:00;DXB;CAN;TestProd;49.012499999999996;1
